feature_idx,activation_count,freq,mean_when_active,max_activation,is_alive
0,0,0.0,0.0,0.0,False
1,14699,0.049426,0.214663,0.319932,True
2,0,0.0,0.0,0.0,False
3,0,0.0,0.0,0.0,False
4,291,0.000978,0.059145,0.118619,True
5,0,0.0,0.0,0.0,False
6,21839,0.073434,0.177169,0.301486,True
7,0,0.0,0.0,0.0,False
8,0,0.0,0.0,0.0,False
9,1,3e-06,0.008012,0.008012,True
10,11,3.7e-05,0.002788,0.013969,True
11,2063,0.006937,0.140434,0.215918,True
12,1202,0.004042,0.050185,0.10354,True
13,2,7e-06,0.012621,0.012621,True
14,26060,0.087628,0.491417,0.646632,True
15,0,0.0,0.0,0.0,False
16,11,3.7e-05,0.023996,0.048844,True
17,0,0.0,0.0,0.0,False
18,1,3e-06,0.006382,0.006382,True
19,1037,0.003487,0.024097,0.070886,True
20,95,0.000319,0.029174,0.047154,True
21,4,1.3e-05,0.010801,0.015845,True
22,26350,0.088603,0.414726,0.623364,True
23,1,3e-06,0.011748,0.011748,True
24,3,1e-05,0.008089,0.013101,True
25,6,2e-05,0.010767,0.013679,True
26,1,3e-06,0.012441,0.012441,True
27,21971,0.073878,0.082244,0.371858,True
28,9,3e-05,0.018994,0.029902,True
29,152,0.000511,0.059911,0.110237,True
30,0,0.0,0.0,0.0,False
31,20,6.7e-05,0.013561,0.017835,True
32,235,0.00079,0.044452,0.075131,True
33,2,7e-06,0.020847,0.020847,True
34,22101,0.074315,0.283046,0.393176,True
35,16601,0.055821,0.21944,0.341068,True
36,1,3e-06,0.012591,0.012591,True
37,0,0.0,0.0,0.0,False
38,2,7e-06,0.015922,0.019823,True
39,673,0.002263,0.062924,0.111046,True
40,565,0.0019,0.280241,0.299613,True
41,3,1e-05,0.01157,0.01812,True
42,1,3e-06,0.019246,0.019246,True
43,1,3e-06,0.010655,0.010655,True
44,0,0.0,0.0,0.0,False
45,5400,0.018158,0.027537,0.11395,True
46,80,0.000269,0.040339,0.107019,True
47,1,3e-06,0.010584,0.010584,True
48,2,7e-06,0.012434,0.018033,True
49,3,1e-05,0.013835,0.014817,True
50,12,4e-05,0.007698,0.013204,True
51,0,0.0,0.0,0.0,False
52,0,0.0,0.0,0.0,False
53,3,1e-05,0.019933,0.023249,True
54,15249,0.051275,0.235314,0.367379,True
55,213,0.000716,0.048461,0.104782,True
56,1,3e-06,0.006959,0.006959,True
57,0,0.0,0.0,0.0,False
58,1,3e-06,0.003232,0.003232,True
59,2,7e-06,0.024816,0.027872,True
60,1,3e-06,0.016154,0.016154,True
61,0,0.0,0.0,0.0,False
62,0,0.0,0.0,0.0,False
63,2,7e-06,0.00188,0.00193,True
64,175,0.000588,0.048316,0.085703,True
65,0,0.0,0.0,0.0,False
66,12,4e-05,0.032416,0.04799,True
67,20571,0.069171,0.043027,0.119843,True
68,886,0.002979,0.132179,0.157129,True
69,114,0.000383,0.018704,0.033021,True
70,0,0.0,0.0,0.0,False
71,0,0.0,0.0,0.0,False
72,238,0.0008,0.064664,0.108207,True
73,850,0.002858,0.047766,0.095754,True
74,215,0.000723,0.096785,0.202799,True
75,26,8.7e-05,0.058423,0.197979,True
76,16,5.4e-05,0.167831,0.29574,True
77,32,0.000108,0.010412,0.034845,True
78,5,1.7e-05,0.018783,0.031682,True
79,47,0.000158,0.079096,0.109359,True
80,0,0.0,0.0,0.0,False
81,0,0.0,0.0,0.0,False
82,1,3e-06,0.021853,0.021853,True
83,2,7e-06,0.021172,0.021172,True
84,1,3e-06,0.028568,0.028568,True
85,2,7e-06,0.003754,0.006043,True
86,3,1e-05,0.023481,0.029528,True
87,61,0.000205,0.078234,0.170302,True
88,0,0.0,0.0,0.0,False
89,6,2e-05,0.008285,0.008285,True
90,2,7e-06,0.028865,0.029947,True
91,1,3e-06,0.038471,0.038471,True
92,67,0.000225,0.007037,0.037234,True
93,1,3e-06,0.034041,0.034041,True
94,3,1e-05,0.023204,0.041053,True
95,0,0.0,0.0,0.0,False
96,2181,0.007334,0.121461,0.164306,True
97,44,0.000148,0.023477,0.045103,True
98,874,0.002939,0.011588,0.026089,True
